period_end,period_year,period_month,period_label,period_short,study_detail,vacatures,source_file
2018-07-31,2018,7,juli 2018,Jul 2018,Lager onderwijs + 1e en 2e graad secundair,64,vacatures_eoy_since_2011_all-8.xlsx
2018-07-31,2018,7,juli 2018,Jul 2018,Master,54,vacatures_eoy_since_2011_all-8.xlsx
2018-07-31,2018,7,juli 2018,Jul 2018,Professionele bachelor,105,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,3e en 4e gr. sec. beroeps,437,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,3e graad sec. algemeen,24,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,3e graad sec. niet gespecificeerd,19,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,3e graad sec. technisch,380,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,Academische bachelor,23,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,Geen specifieke studievereiste,1078,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,Graduaat (HBO5),12,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,Lager onderwijs + 1e en 2e graad secundair,96,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,Master,71,vacatures_eoy_since_2011_all-8.xlsx
2018-08-31,2018,8,augustus 2018,Aug 2018,Professionele bachelor,185,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,3e en 4e gr. sec. beroeps,184,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,3e graad sec. algemeen,22,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,3e graad sec. niet gespecificeerd,4,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,3e graad sec. technisch,292,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,Academische bachelor,19,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,Geen specifieke studievereiste,1213,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,Graduaat (HBO5),644,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,Lager onderwijs + 1e en 2e graad secundair,84,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,Master,53,vacatures_eoy_since_2011_all-8.xlsx
2018-09-30,2018,9,september 2018,Sep 2018,Professionele bachelor,115,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,3e en 4e gr. sec. beroeps,214,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,3e graad sec. algemeen,21,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,3e graad sec. niet gespecificeerd,8,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,3e graad sec. technisch,381,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,Academische bachelor,30,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,Geen specifieke studievereiste,850,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,Graduaat (HBO5),33,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,Lager onderwijs + 1e en 2e graad secundair,98,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,Master,76,vacatures_eoy_since_2011_all-8.xlsx
2018-10-31,2018,10,oktober 2018,Okt 2018,Professionele bachelor,133,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,3e en 4e gr. sec. beroeps,143,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,3e graad sec. algemeen,13,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,3e graad sec. niet gespecificeerd,14,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,3e graad sec. technisch,474,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,Academische bachelor,22,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,Geen specifieke studievereiste,557,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,Graduaat (HBO5),22,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,Lager onderwijs + 1e en 2e graad secundair,77,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,Master,48,vacatures_eoy_since_2011_all-8.xlsx
2018-11-30,2018,11,november 2018,Nov 2018,Professionele bachelor,134,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,3e en 4e gr. sec. beroeps,155,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,3e graad sec. algemeen,9,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,3e graad sec. niet gespecificeerd,8,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,3e graad sec. technisch,160,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,Academische bachelor,23,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,Geen specifieke studievereiste,462,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,Graduaat (HBO5),12,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,Lager onderwijs + 1e en 2e graad secundair,59,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,Master,51,vacatures_eoy_since_2011_all-8.xlsx
2018-12-31,2018,12,december 2018,Dec 2018,Professionele bachelor,112,vacatures_eoy_since_2011_all-8.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,3e en 4e gr. sec. beroeps,242,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,3e graad sec. algemeen,18,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,3e graad sec. niet gespecificeerd,16,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,3e graad sec. technisch,306,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,Academische bachelor,25,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,Buitengewoon secundair,2,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,Geen specifieke studievereiste,681,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,Graduaat (HBO5),21,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,Lager onderwijs + 1e en 2e graad secundair,105,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,Master,46,vacatures_eoy_since_2011_all-7.xlsx
2019-01-31,2019,1,januari 2019,Jan 2019,Professionele bachelor,182,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,3e en 4e gr. sec. beroeps,208,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,3e graad sec. algemeen,13,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,3e graad sec. niet gespecificeerd,13,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,3e graad sec. technisch,370,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,Academische bachelor,26,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,Geen specifieke studievereiste,784,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,Graduaat (HBO5),23,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,Lager onderwijs + 1e en 2e graad secundair,122,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,Master,84,vacatures_eoy_since_2011_all-7.xlsx
2019-02-28,2019,2,februari 2019,Feb 2019,Professionele bachelor,182,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,3e en 4e gr. sec. beroeps,150,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,3e graad sec. algemeen,9,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,3e graad sec. niet gespecificeerd,9,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,3e graad sec. technisch,408,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,Academische bachelor,38,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,Geen specifieke studievereiste,719,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,Graduaat (HBO5),15,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,Lager onderwijs + 1e en 2e graad secundair,85,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,Master,100,vacatures_eoy_since_2011_all-7.xlsx
2019-03-31,2019,3,maart 2019,Mrt 2019,Professionele bachelor,189,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,3e en 4e gr. sec. beroeps,164,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,3e graad sec. algemeen,16,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,3e graad sec. niet gespecificeerd,8,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,3e graad sec. technisch,239,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,Academische bachelor,12,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,Geen specifieke studievereiste,684,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,Graduaat (HBO5),7,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,Lager onderwijs + 1e en 2e graad secundair,63,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,Master,78,vacatures_eoy_since_2011_all-7.xlsx
2019-04-30,2019,4,april 2019,Apr 2019,Professionele bachelor,145,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,3e en 4e gr. sec. beroeps,170,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,3e graad sec. algemeen,20,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,3e graad sec. niet gespecificeerd,5,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,3e graad sec. technisch,354,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,Academische bachelor,23,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,Geen specifieke studievereiste,737,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,Graduaat (HBO5),24,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,Lager onderwijs + 1e en 2e graad secundair,79,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,Master,50,vacatures_eoy_since_2011_all-7.xlsx
2019-05-31,2019,5,mei 2019,Mei 2019,Professionele bachelor,155,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,3e en 4e gr. sec. beroeps,177,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,3e graad sec. algemeen,21,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,3e graad sec. niet gespecificeerd,5,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,3e graad sec. technisch,351,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,Academische bachelor,41,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,Buitengewoon secundair,2,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,Geen specifieke studievereiste,521,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,Graduaat (HBO5),16,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,Lager onderwijs + 1e en 2e graad secundair,101,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,Master,53,vacatures_eoy_since_2011_all-7.xlsx
2019-06-30,2019,6,juni 2019,Jun 2019,Professionele bachelor,155,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,3e en 4e gr. sec. beroeps,123,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,3e graad sec. algemeen,25,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,3e graad sec. niet gespecificeerd,5,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,3e graad sec. technisch,241,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,Academische bachelor,14,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,Geen specifieke studievereiste,408,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,Graduaat (HBO5),3,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,Lager onderwijs + 1e en 2e graad secundair,56,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,Master,79,vacatures_eoy_since_2011_all-7.xlsx
2019-07-31,2019,7,juli 2019,Jul 2019,Professionele bachelor,178,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,3e en 4e gr. sec. beroeps,174,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,3e graad sec. algemeen,24,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,3e graad sec. niet gespecificeerd,23,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,3e graad sec. technisch,222,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,Academische bachelor,23,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,Geen specifieke studievereiste,713,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,Graduaat (HBO5),20,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,Lager onderwijs + 1e en 2e graad secundair,48,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,Master,43,vacatures_eoy_since_2011_all-7.xlsx
2019-08-31,2019,8,augustus 2019,Aug 2019,Professionele bachelor,136,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,3e en 4e gr. sec. beroeps,211,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,3e graad sec. algemeen,15,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,3e graad sec. niet gespecificeerd,7,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,3e graad sec. technisch,314,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,Academische bachelor,46,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,Geen specifieke studievereiste,1079,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,Graduaat (HBO5),21,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,Lager onderwijs + 1e en 2e graad secundair,99,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,Master,80,vacatures_eoy_since_2011_all-7.xlsx
2019-09-30,2019,9,september 2019,Sep 2019,Professionele bachelor,190,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,3e en 4e gr. sec. beroeps,218,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,3e graad sec. algemeen,13,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,3e graad sec. kunst,2,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,3e graad sec. niet gespecificeerd,18,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,3e graad sec. technisch,359,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,Academische bachelor,42,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,Geen specifieke studievereiste,863,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,Graduaat (HBO5),23,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,Lager onderwijs + 1e en 2e graad secundair,141,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,Master,103,vacatures_eoy_since_2011_all-7.xlsx
2019-10-31,2019,10,oktober 2019,Okt 2019,Professionele bachelor,257,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,3e en 4e gr. sec. beroeps,157,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,3e graad sec. algemeen,27,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,3e graad sec. kunst,2,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,3e graad sec. niet gespecificeerd,9,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,3e graad sec. technisch,201,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,Academische bachelor,30,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,Geen specifieke studievereiste,608,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,Graduaat (HBO5),24,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,Lager onderwijs + 1e en 2e graad secundair,95,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,Master,43,vacatures_eoy_since_2011_all-7.xlsx
2019-11-30,2019,11,november 2019,Nov 2019,Professionele bachelor,111,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,3e en 4e gr. sec. beroeps,128,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,3e graad sec. algemeen,3,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,3e graad sec. niet gespecificeerd,6,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,3e graad sec. technisch,246,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,Academische bachelor,24,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,Geen specifieke studievereiste,517,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,Graduaat (HBO5),11,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,Lager onderwijs + 1e en 2e graad secundair,78,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,Master,34,vacatures_eoy_since_2011_all-7.xlsx
2019-12-31,2019,12,december 2019,Dec 2019,Professionele bachelor,134,vacatures_eoy_since_2011_all-7.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,3e en 4e gr. sec. beroeps,297,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,3e graad sec. algemeen,15,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,3e graad sec. niet gespecificeerd,13,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,3e graad sec. technisch,392,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,Academische bachelor,43,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,Buitengewoon secundair,4,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,Geen specifieke studievereiste,847,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,Graduaat (HBO5),41,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,Lager onderwijs + 1e en 2e graad secundair,102,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,Master,55,vacatures_eoy_since_2011_all-6.xlsx
2020-01-31,2020,1,januari 2020,Jan 2020,Professionele bachelor,237,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,3e en 4e gr. sec. beroeps,175,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,3e graad sec. algemeen,22,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,3e graad sec. niet gespecificeerd,10,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,3e graad sec. technisch,304,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,Academische bachelor,25,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,Geen specifieke studievereiste,771,vacatures_eoy_since_2011_all-6.xlsx
2020-02-29,2020,2,februari 2020,Feb 2020,Graduaat (HBO5),18,vacatures_eoy_since_2011_all-6.xlsx
